,발행회차,발행일자,기준월,만기전상환율
9352,MBS 2008-06,2008-05-27,2014-08,8.21
9353,MBS 2008-06,2008-05-27,2014-07,6.25
9354,MBS 2008-06,2008-05-27,2014-06,4.01
9355,MBS 2008-06,2008-05-27,2014-05,3.4
9356,MBS 2008-06,2008-05-27,2014-04,5.45
9357,MBS 2008-06,2008-05-27,2014-03,4.69
9358,MBS 2008-06,2008-05-27,2014-02,6.27
9359,MBS 2008-06,2008-05-27,2014-01,4.65
9360,MBS 2008-06,2008-05-27,2013-12,5.62
9361,MBS 2008-06,2008-05-27,2013-11,5.96
9362,MBS 2008-06,2008-05-27,2013-10,7.2
9363,MBS 2008-06,2008-05-27,2013-09,5.86
9364,MBS 2008-06,2008-05-27,2013-08,6.19
9365,MBS 2008-06,2008-05-27,2013-07,9.14
9366,MBS 2008-06,2008-05-27,2013-06,8.15
9367,MBS 2008-06,2008-05-27,2013-05,9.54
9368,MBS 2008-06,2008-05-27,2013-04,14.12
9369,MBS 2008-06,2008-05-27,2013-03,8.72
9370,MBS 2008-06,2008-05-27,2013-02,0.07
9371,MBS 2008-06,2008-05-27,2013-01,6.12
9372,MBS 2008-06,2008-05-27,2012-12,5.98
9373,MBS 2008-06,2008-05-27,2012-11,4.83
9374,MBS 2008-06,2008-05-27,2012-10,4.42
9375,MBS 2008-06,2008-05-27,2012-09,3.7
9376,MBS 2008-06,2008-05-27,2012-08,5.81
9377,MBS 2008-06,2008-05-27,2012-07,4.32
9378,MBS 2008-06,2008-05-27,2012-06,5.52
9379,MBS 2008-06,2008-05-27,2012-05,4.75
9380,MBS 2008-06,2008-05-27,2012-04,3.46
9381,MBS 2008-06,2008-05-27,2012-03,4.93
9382,MBS 2008-06,2008-05-27,2012-02,3.18
9383,MBS 2008-06,2008-05-27,2012-01,2.68
9384,MBS 2008-06,2008-05-27,2011-12,3.36
9385,MBS 2008-06,2008-05-27,2011-11,4.94
9386,MBS 2008-06,2008-05-27,2011-10,3.98
9387,MBS 2008-06,2008-05-27,2011-09,3.67
9388,MBS 2008-06,2008-05-27,2011-08,3.91
9389,MBS 2008-06,2008-05-27,2011-07,4.11
9390,MBS 2008-06,2008-05-27,2011-06,4.52
9391,MBS 2008-06,2008-05-27,2011-05,6.0
9392,MBS 2008-06,2008-05-27,2011-04,6.25
9393,MBS 2008-06,2008-05-27,2011-03,5.29
9394,MBS 2008-06,2008-05-27,2011-02,4.07
9395,MBS 2008-06,2008-05-27,2011-01,3.09
9396,MBS 2008-05,2008-05-06,2015-12,9.33
9397,MBS 2008-05,2008-05-06,2015-11,4.35
9398,MBS 2008-05,2008-05-06,2015-10,5.08
9399,MBS 2008-05,2008-05-06,2015-09,6.63
9400,MBS 2008-05,2008-05-06,2015-08,6.61
9401,MBS 2008-05,2008-05-06,2015-07,5.26
9402,MBS 2008-05,2008-05-06,2015-06,2.81
9403,MBS 2008-05,2008-05-06,2015-05,7.0
9404,MBS 2008-05,2008-05-06,2015-04,15.26
9405,MBS 2008-05,2008-05-06,2015-03,5.86
9406,MBS 2008-05,2008-05-06,2015-02,3.37
9407,MBS 2008-05,2008-05-06,2015-01,4.9
9408,MBS 2008-05,2008-05-06,2014-12,6.26
9409,MBS 2008-05,2008-05-06,2014-11,5.51
9410,MBS 2008-05,2008-05-06,2014-10,5.21
9411,MBS 2008-05,2008-05-06,2014-09,2.91
9412,MBS 2008-05,2008-05-06,2014-08,9.32
9413,MBS 2008-05,2008-05-06,2014-07,2.84
9414,MBS 2008-05,2008-05-06,2014-06,1.78
9415,MBS 2008-05,2008-05-06,2014-05,4.05
9416,MBS 2008-05,2008-05-06,2014-04,2.77
9417,MBS 2008-05,2008-05-06,2014-03,3.79
9418,MBS 2008-05,2008-05-06,2014-02,3.64
9419,MBS 2008-05,2008-05-06,2014-01,6.74
9420,MBS 2008-05,2008-05-06,2013-12,4.41
9421,MBS 2008-05,2008-05-06,2013-11,7.64
9422,MBS 2008-05,2008-05-06,2013-10,6.34
9423,MBS 2008-05,2008-05-06,2013-09,4.26
9424,MBS 2008-05,2008-05-06,2013-08,4.76
9425,MBS 2008-05,2008-05-06,2013-07,4.53
9426,MBS 2008-05,2008-05-06,2013-06,8.76
9427,MBS 2008-05,2008-05-06,2013-05,8.32
9428,MBS 2008-05,2008-05-06,2013-04,11.6
9429,MBS 2008-05,2008-05-06,2013-03,12.57
9430,MBS 2008-05,2008-05-06,2013-02,0.08
9431,MBS 2008-05,2008-05-06,2013-01,7.58
9432,MBS 2008-05,2008-05-06,2012-12,5.83
9433,MBS 2008-05,2008-05-06,2012-11,5.34
9434,MBS 2008-05,2008-05-06,2012-10,5.23
9435,MBS 2008-05,2008-05-06,2012-09,5.66
9436,MBS 2008-05,2008-05-06,2012-08,6.33
9437,MBS 2008-05,2008-05-06,2012-07,3.75
9438,MBS 2008-05,2008-05-06,2012-06,3.44
9439,MBS 2008-05,2008-05-06,2012-05,4.61
9440,MBS 2008-05,2008-05-06,2012-04,4.52
9441,MBS 2008-05,2008-05-06,2012-03,4.96
9442,MBS 2008-05,2008-05-06,2012-02,3.71
9443,MBS 2008-05,2008-05-06,2012-01,2.36
9444,MBS 2008-05,2008-05-06,2011-12,4.02
9445,MBS 2008-05,2008-05-06,2011-11,3.87
9446,MBS 2008-05,2008-05-06,2011-10,3.73
9447,MBS 2008-05,2008-05-06,2011-09,2.66
9448,MBS 2008-05,2008-05-06,2011-08,3.49
9449,MBS 2008-05,2008-05-06,2011-07,3.87
9450,MBS 2008-05,2008-05-06,2011-06,4.52
9451,MBS 2008-05,2008-05-06,2011-05,3.96
9452,MBS 2008-05,2008-05-06,2011-04,5.64
9453,MBS 2008-05,2008-05-06,2011-03,7.44
9454,MBS 2008-05,2008-05-06,2011-02,4.05
9455,MBS 2008-05,2008-05-06,2011-01,4.16
9456,MBS 2008-04,2008-04-15,2015-12,6.59
9457,MBS 2008-04,2008-04-15,2015-11,0.57
9458,MBS 2008-04,2008-04-15,2015-10,3.93
9459,MBS 2008-04,2008-04-15,2015-09,8.75
9460,MBS 2008-04,2008-04-15,2015-08,3.4
9461,MBS 2008-04,2008-04-15,2015-07,14.42
9462,MBS 2008-04,2008-04-15,2015-06,9.29
9463,MBS 2008-04,2008-04-15,2015-05,6.3
9464,MBS 2008-04,2008-04-15,2015-04,11.61
9465,MBS 2008-04,2008-04-15,2015-03,3.36
9466,MBS 2008-04,2008-04-15,2015-02,5.36
9467,MBS 2008-04,2008-04-15,2015-01,5.78
9468,MBS 2008-04,2008-04-15,2014-12,3.48
9469,MBS 2008-04,2008-04-15,2014-11,8.66
9470,MBS 2008-04,2008-04-15,2014-10,6.74
9471,MBS 2008-04,2008-04-15,2014-09,4.68
9472,MBS 2008-04,2008-04-15,2014-08,5.01
9473,MBS 2008-04,2008-04-15,2014-07,5.24
9474,MBS 2008-04,2008-04-15,2014-06,4.3
9475,MBS 2008-04,2008-04-15,2014-05,3.97
9476,MBS 2008-04,2008-04-15,2014-04,5.53
9477,MBS 2008-04,2008-04-15,2014-03,5.0
9478,MBS 2008-04,2008-04-15,2014-02,6.63
9479,MBS 2008-04,2008-04-15,2014-01,2.96
9480,MBS 2008-04,2008-04-15,2013-12,5.07
9481,MBS 2008-04,2008-04-15,2013-11,3.64
9482,MBS 2008-04,2008-04-15,2013-10,6.34
9483,MBS 2008-04,2008-04-15,2013-09,3.38
9484,MBS 2008-04,2008-04-15,2013-08,4.77
9485,MBS 2008-04,2008-04-15,2013-07,5.7
9486,MBS 2008-04,2008-04-15,2013-06,6.7
9487,MBS 2008-04,2008-04-15,2013-05,10.47
9488,MBS 2008-04,2008-04-15,2013-04,9.65
9489,MBS 2008-04,2008-04-15,2013-03,10.66
9490,MBS 2008-04,2008-04-15,2013-02,0.08
9491,MBS 2008-04,2008-04-15,2013-01,10.68
9492,MBS 2008-04,2008-04-15,2012-12,4.89
9493,MBS 2008-04,2008-04-15,2012-11,6.13
9494,MBS 2008-04,2008-04-15,2012-10,3.4
9495,MBS 2008-04,2008-04-15,2012-09,5.15
9496,MBS 2008-04,2008-04-15,2012-08,5.4
9497,MBS 2008-04,2008-04-15,2012-07,3.28
9498,MBS 2008-04,2008-04-15,2012-06,3.46
9499,MBS 2008-04,2008-04-15,2012-05,3.77
9500,MBS 2008-04,2008-04-15,2012-04,3.31
9501,MBS 2008-04,2008-04-15,2012-03,4.34
9502,MBS 2008-04,2008-04-15,2012-02,4.41
9503,MBS 2008-04,2008-04-15,2012-01,2.87
9504,MBS 2008-04,2008-04-15,2011-12,4.38
9505,MBS 2008-04,2008-04-15,2011-11,2.56
9506,MBS 2008-04,2008-04-15,2011-10,2.34
9507,MBS 2008-04,2008-04-15,2011-09,2.15
9508,MBS 2008-04,2008-04-15,2011-08,3.0
9509,MBS 2008-04,2008-04-15,2011-07,4.62
9510,MBS 2008-04,2008-04-15,2011-06,3.87
9511,MBS 2008-04,2008-04-15,2011-05,3.74
9512,MBS 2008-04,2008-04-15,2011-04,4.29
9513,MBS 2008-04,2008-04-15,2011-03,5.84
9514,MBS 2008-04,2008-04-15,2011-02,5.37
9515,MBS 2008-04,2008-04-15,2011-01,7.13
9516,MBS 2008-03,2008-03-27,2015-12,3.04
9517,MBS 2008-03,2008-03-27,2015-11,7.23
9518,MBS 2008-03,2008-03-27,2015-10,6.77
9519,MBS 2008-03,2008-03-27,2015-09,2.25
9520,MBS 2008-03,2008-03-27,2015-08,2.16
9521,MBS 2008-03,2008-03-27,2015-07,4.79
9522,MBS 2008-03,2008-03-27,2015-06,1.38
9523,MBS 2008-03,2008-03-27,2015-05,8.23
9524,MBS 2008-03,2008-03-27,2015-04,14.91
9525,MBS 2008-03,2008-03-27,2015-03,6.53
9526,MBS 2008-03,2008-03-27,2015-02,7.41
9527,MBS 2008-03,2008-03-27,2015-01,2.92
9528,MBS 2008-03,2008-03-27,2014-12,4.88
9529,MBS 2008-03,2008-03-27,2014-11,5.67
9530,MBS 2008-03,2008-03-27,2014-10,6.21
9531,MBS 2008-03,2008-03-27,2014-09,4.95
9532,MBS 2008-03,2008-03-27,2014-08,8.13
9533,MBS 2008-03,2008-03-27,2014-07,4.65
9534,MBS 2008-03,2008-03-27,2014-06,1.42
9535,MBS 2008-03,2008-03-27,2014-05,3.62
9536,MBS 2008-03,2008-03-27,2014-04,9.75
9537,MBS 2008-03,2008-03-27,2014-03,4.86
9538,MBS 2008-03,2008-03-27,2014-02,2.98
9539,MBS 2008-03,2008-03-27,2014-01,3.22
9540,MBS 2008-03,2008-03-27,2013-12,5.61
9541,MBS 2008-03,2008-03-27,2013-11,4.46
9542,MBS 2008-03,2008-03-27,2013-10,4.43
9543,MBS 2008-03,2008-03-27,2013-09,2.85
9544,MBS 2008-03,2008-03-27,2013-08,3.22
9545,MBS 2008-03,2008-03-27,2013-07,4.35
9546,MBS 2008-03,2008-03-27,2013-06,6.3
9547,MBS 2008-03,2008-03-27,2013-05,10.39
9548,MBS 2008-03,2008-03-27,2013-04,8.43
9549,MBS 2008-03,2008-03-27,2013-03,9.62
9550,MBS 2008-03,2008-03-27,2013-02,0.09
9551,MBS 2008-03,2008-03-27,2013-01,13.03
9552,MBS 2008-03,2008-03-27,2012-12,13.79
9553,MBS 2008-03,2008-03-27,2012-11,8.33
9554,MBS 2008-03,2008-03-27,2012-10,3.96
9555,MBS 2008-03,2008-03-27,2012-09,3.05
9556,MBS 2008-03,2008-03-27,2012-08,4.38
9557,MBS 2008-03,2008-03-27,2012-07,3.71
9558,MBS 2008-03,2008-03-27,2012-06,3.07
9559,MBS 2008-03,2008-03-27,2012-05,5.51
9560,MBS 2008-03,2008-03-27,2012-04,3.69
9561,MBS 2008-03,2008-03-27,2012-03,3.48
9562,MBS 2008-03,2008-03-27,2012-02,3.78
9563,MBS 2008-03,2008-03-27,2012-01,2.42
9564,MBS 2008-03,2008-03-27,2011-12,4.59
9565,MBS 2008-03,2008-03-27,2011-11,3.18
9566,MBS 2008-03,2008-03-27,2011-10,2.57
9567,MBS 2008-03,2008-03-27,2011-09,3.61
9568,MBS 2008-03,2008-03-27,2011-08,3.05
9569,MBS 2008-03,2008-03-27,2011-07,3.55
9570,MBS 2008-03,2008-03-27,2011-06,4.1
9571,MBS 2008-03,2008-03-27,2011-05,3.76
9572,MBS 2008-03,2008-03-27,2011-04,4.01
9573,MBS 2008-03,2008-03-27,2011-03,5.23
9574,MBS 2008-03,2008-03-27,2011-02,4.08
9575,MBS 2008-03,2008-03-27,2011-01,5.71
9576,MBS 2008-02,2008-03-07,2015-12,9.13
9577,MBS 2008-02,2008-03-07,2015-11,0.0
9578,MBS 2008-02,2008-03-07,2015-10,8.12
9579,MBS 2008-02,2008-03-07,2015-09,5.09
9580,MBS 2008-02,2008-03-07,2015-08,9.64
9581,MBS 2008-02,2008-03-07,2015-07,10.28
9582,MBS 2008-02,2008-03-07,2015-06,8.33
9583,MBS 2008-02,2008-03-07,2015-05,7.42
9584,MBS 2008-02,2008-03-07,2015-04,11.13
9585,MBS 2008-02,2008-03-07,2015-03,7.48
9586,MBS 2008-02,2008-03-07,2015-02,1.38
9587,MBS 2008-02,2008-03-07,2015-01,5.97
9588,MBS 2008-02,2008-03-07,2014-12,6.28
9589,MBS 2008-02,2008-03-07,2014-11,13.4
9590,MBS 2008-02,2008-03-07,2014-10,8.15
9591,MBS 2008-02,2008-03-07,2014-09,9.08
9592,MBS 2008-02,2008-03-07,2014-08,5.4
9593,MBS 2008-02,2008-03-07,2014-07,3.71
9594,MBS 2008-02,2008-03-07,2014-06,2.86
9595,MBS 2008-02,2008-03-07,2014-05,5.96
9596,MBS 2008-02,2008-03-07,2014-04,5.03
9597,MBS 2008-02,2008-03-07,2014-03,5.97
9598,MBS 2008-02,2008-03-07,2014-02,4.66
9599,MBS 2008-02,2008-03-07,2014-01,4.48
9600,MBS 2008-02,2008-03-07,2013-12,5.72
9601,MBS 2008-02,2008-03-07,2013-11,2.9
9602,MBS 2008-02,2008-03-07,2013-10,4.81
9603,MBS 2008-02,2008-03-07,2013-09,4.36
9604,MBS 2008-02,2008-03-07,2013-08,3.74
9605,MBS 2008-02,2008-03-07,2013-07,5.24
9606,MBS 2008-02,2008-03-07,2013-06,7.97
9607,MBS 2008-02,2008-03-07,2013-05,9.51
9608,MBS 2008-02,2008-03-07,2013-04,9.75
9609,MBS 2008-02,2008-03-07,2013-03,10.43
9610,MBS 2008-02,2008-03-07,2013-02,0.04
9611,MBS 2008-02,2008-03-07,2013-01,9.27
9612,MBS 2008-02,2008-03-07,2012-12,9.91
9613,MBS 2008-02,2008-03-07,2012-11,17.8
9614,MBS 2008-02,2008-03-07,2012-10,7.96
9615,MBS 2008-02,2008-03-07,2012-09,2.41
9616,MBS 2008-02,2008-03-07,2012-08,4.99
9617,MBS 2008-02,2008-03-07,2012-07,3.23
9618,MBS 2008-02,2008-03-07,2012-06,3.28
9619,MBS 2008-02,2008-03-07,2012-05,2.87
9620,MBS 2008-02,2008-03-07,2012-04,4.33
9621,MBS 2008-02,2008-03-07,2012-03,4.27
9622,MBS 2008-02,2008-03-07,2012-02,4.2
9623,MBS 2008-02,2008-03-07,2012-01,2.33
9624,MBS 2008-02,2008-03-07,2011-12,3.05
9625,MBS 2008-02,2008-03-07,2011-11,4.18
9626,MBS 2008-02,2008-03-07,2011-10,3.65
9627,MBS 2008-02,2008-03-07,2011-09,3.04
9628,MBS 2008-02,2008-03-07,2011-08,2.53
9629,MBS 2008-02,2008-03-07,2011-07,2.96
9630,MBS 2008-02,2008-03-07,2011-06,3.8
9631,MBS 2008-02,2008-03-07,2011-05,4.03
9632,MBS 2008-02,2008-03-07,2011-04,3.44
9633,MBS 2008-02,2008-03-07,2011-03,4.04
9634,MBS 2008-02,2008-03-07,2011-02,3.1
9635,MBS 2008-02,2008-03-07,2011-01,4.12
9636,MBS 2008-01,2008-02-26,2015-12,2.98
9637,MBS 2008-01,2008-02-26,2015-11,6.47
9638,MBS 2008-01,2008-02-26,2015-10,3.75
9639,MBS 2008-01,2008-02-26,2015-09,5.56
9640,MBS 2008-01,2008-02-26,2015-08,3.21
9641,MBS 2008-01,2008-02-26,2015-07,5.32
9642,MBS 2008-01,2008-02-26,2015-06,7.66
9643,MBS 2008-01,2008-02-26,2015-05,4.41
9644,MBS 2008-01,2008-02-26,2015-04,12.18
9645,MBS 2008-01,2008-02-26,2015-03,8.52
9646,MBS 2008-01,2008-02-26,2015-02,4.92
9647,MBS 2008-01,2008-02-26,2015-01,4.85
9648,MBS 2008-01,2008-02-26,2014-12,7.37
9649,MBS 2008-01,2008-02-26,2014-11,5.73
9650,MBS 2008-01,2008-02-26,2014-10,6.73
9651,MBS 2008-01,2008-02-26,2014-09,4.6
9652,MBS 2008-01,2008-02-26,2014-08,5.85
9653,MBS 2008-01,2008-02-26,2014-07,4.46
9654,MBS 2008-01,2008-02-26,2014-06,4.66
9655,MBS 2008-01,2008-02-26,2014-05,4.09
9656,MBS 2008-01,2008-02-26,2014-04,3.16
9657,MBS 2008-01,2008-02-26,2014-03,3.36
9658,MBS 2008-01,2008-02-26,2014-02,6.66
9659,MBS 2008-01,2008-02-26,2014-01,5.41
9660,MBS 2008-01,2008-02-26,2013-12,4.61
9661,MBS 2008-01,2008-02-26,2013-11,7.02
9662,MBS 2008-01,2008-02-26,2013-10,7.34
9663,MBS 2008-01,2008-02-26,2013-09,2.98
9664,MBS 2008-01,2008-02-26,2013-08,5.61
9665,MBS 2008-01,2008-02-26,2013-07,6.94
9666,MBS 2008-01,2008-02-26,2013-06,7.5
9667,MBS 2008-01,2008-02-26,2013-05,8.9
9668,MBS 2008-01,2008-02-26,2013-04,8.67
9669,MBS 2008-01,2008-02-26,2013-03,9.21
9670,MBS 2008-01,2008-02-26,2013-02,0.08
9671,MBS 2008-01,2008-02-26,2013-01,6.51
9672,MBS 2008-01,2008-02-26,2012-12,6.55
9673,MBS 2008-01,2008-02-26,2012-11,10.32
9674,MBS 2008-01,2008-02-26,2012-10,11.98
9675,MBS 2008-01,2008-02-26,2012-09,13.27
9676,MBS 2008-01,2008-02-26,2012-08,6.58
9677,MBS 2008-01,2008-02-26,2012-07,3.11
9678,MBS 2008-01,2008-02-26,2012-06,2.53
9679,MBS 2008-01,2008-02-26,2012-05,2.66
9680,MBS 2008-01,2008-02-26,2012-04,2.67
9681,MBS 2008-01,2008-02-26,2012-03,3.18
9682,MBS 2008-01,2008-02-26,2012-02,3.45
9683,MBS 2008-01,2008-02-26,2012-01,1.89
9684,MBS 2008-01,2008-02-26,2011-12,2.88
9685,MBS 2008-01,2008-02-26,2011-11,3.68
9686,MBS 2008-01,2008-02-26,2011-10,3.63
9687,MBS 2008-01,2008-02-26,2011-09,2.99
9688,MBS 2008-01,2008-02-26,2011-08,3.07
9689,MBS 2008-01,2008-02-26,2011-07,3.01
9690,MBS 2008-01,2008-02-26,2011-06,3.01
9691,MBS 2008-01,2008-02-26,2011-05,4.07
9692,MBS 2008-01,2008-02-26,2011-04,3.05
9693,MBS 2008-01,2008-02-26,2011-03,3.54
9694,MBS 2008-01,2008-02-26,2011-02,3.51
9695,MBS 2008-01,2008-02-26,2011-01,3.53
9696,MBS 2007-06,2007-10-25,2015-12,5.76
9697,MBS 2007-06,2007-10-25,2015-11,3.64
9698,MBS 2007-06,2007-10-25,2015-10,13.32
9699,MBS 2007-06,2007-10-25,2015-09,2.69
9700,MBS 2007-06,2007-10-25,2015-08,10.09
9701,MBS 2007-06,2007-10-25,2015-07,12.04
9702,MBS 2007-06,2007-10-25,2015-06,8.7
9703,MBS 2007-06,2007-10-25,2015-05,6.25
9704,MBS 2007-06,2007-10-25,2015-04,8.79
9705,MBS 2007-06,2007-10-25,2015-03,4.18
9706,MBS 2007-06,2007-10-25,2015-02,3.96
9707,MBS 2007-06,2007-10-25,2015-01,4.59
9708,MBS 2007-06,2007-10-25,2014-12,5.36
9709,MBS 2007-06,2007-10-25,2014-11,6.51
9710,MBS 2007-06,2007-10-25,2014-10,7.52
9711,MBS 2007-06,2007-10-25,2014-09,5.33
9712,MBS 2007-06,2007-10-25,2014-08,4.3
9713,MBS 2007-06,2007-10-25,2014-07,4.03
9714,MBS 2007-06,2007-10-25,2014-06,4.07
9715,MBS 2007-06,2007-10-25,2014-05,2.41
9716,MBS 2007-06,2007-10-25,2014-04,5.0
9717,MBS 2007-06,2007-10-25,2014-03,2.85
9718,MBS 2007-06,2007-10-25,2014-02,3.71
9719,MBS 2007-06,2007-10-25,2014-01,4.77
9720,MBS 2007-06,2007-10-25,2013-12,6.43
9721,MBS 2007-06,2007-10-25,2013-11,3.81
9722,MBS 2007-06,2007-10-25,2013-10,3.63
9723,MBS 2007-06,2007-10-25,2013-09,5.29
9724,MBS 2007-06,2007-10-25,2013-08,7.68
9725,MBS 2007-06,2007-10-25,2013-07,7.27
9726,MBS 2007-06,2007-10-25,2013-06,7.03
9727,MBS 2007-06,2007-10-25,2013-05,7.13
9728,MBS 2007-06,2007-10-25,2013-04,7.75
9729,MBS 2007-06,2007-10-25,2013-03,9.85
9730,MBS 2007-06,2007-10-25,2013-02,0.08
9731,MBS 2007-06,2007-10-25,2013-01,4.61
9732,MBS 2007-06,2007-10-25,2012-12,4.65
9733,MBS 2007-06,2007-10-25,2012-11,9.71
9734,MBS 2007-06,2007-10-25,2012-10,8.39
9735,MBS 2007-06,2007-10-25,2012-09,9.79
9736,MBS 2007-06,2007-10-25,2012-08,9.55
9737,MBS 2007-06,2007-10-25,2012-07,5.85
9738,MBS 2007-06,2007-10-25,2012-06,2.77
9739,MBS 2007-06,2007-10-25,2012-05,2.55
9740,MBS 2007-06,2007-10-25,2012-04,2.13
9741,MBS 2007-06,2007-10-25,2012-03,3.11
9742,MBS 2007-06,2007-10-25,2012-02,3.45
9743,MBS 2007-06,2007-10-25,2012-01,2.4
9744,MBS 2007-06,2007-10-25,2011-12,2.74
9745,MBS 2007-06,2007-10-25,2011-11,3.63
9746,MBS 2007-06,2007-10-25,2011-10,3.43
9747,MBS 2007-06,2007-10-25,2011-09,2.79
9748,MBS 2007-06,2007-10-25,2011-08,3.21
9749,MBS 2007-06,2007-10-25,2011-07,2.8
9750,MBS 2007-06,2007-10-25,2011-06,3.69
9751,MBS 2007-06,2007-10-25,2011-05,3.19
9752,MBS 2007-06,2007-10-25,2011-04,3.67
9753,MBS 2007-06,2007-10-25,2011-03,3.33
9754,MBS 2007-06,2007-10-25,2011-02,3.52
9755,MBS 2007-06,2007-10-25,2011-01,3.7
9756,MBS 2007-05,2007-09-20,2015-12,9.58
9757,MBS 2007-05,2007-09-20,2015-11,4.06
9758,MBS 2007-05,2007-09-20,2015-10,6.5
9759,MBS 2007-05,2007-09-20,2015-09,1.98
9760,MBS 2007-05,2007-09-20,2015-08,5.5
9761,MBS 2007-05,2007-09-20,2015-07,5.7
9762,MBS 2007-05,2007-09-20,2015-06,4.62
9763,MBS 2007-05,2007-09-20,2015-05,9.29
9764,MBS 2007-05,2007-09-20,2015-04,9.31
9765,MBS 2007-05,2007-09-20,2015-03,4.8
9766,MBS 2007-05,2007-09-20,2015-02,2.3
9767,MBS 2007-05,2007-09-20,2015-01,6.33
9768,MBS 2007-05,2007-09-20,2014-12,5.46
9769,MBS 2007-05,2007-09-20,2014-11,5.86
9770,MBS 2007-05,2007-09-20,2014-10,5.82
9771,MBS 2007-05,2007-09-20,2014-09,6.44
9772,MBS 2007-05,2007-09-20,2014-08,3.48
9773,MBS 2007-05,2007-09-20,2014-07,3.84
9774,MBS 2007-05,2007-09-20,2014-06,5.09
9775,MBS 2007-05,2007-09-20,2014-05,4.13
9776,MBS 2007-05,2007-09-20,2014-04,5.44
9777,MBS 2007-05,2007-09-20,2014-03,3.74
9778,MBS 2007-05,2007-09-20,2014-02,4.33
9779,MBS 2007-05,2007-09-20,2014-01,3.72
9780,MBS 2007-05,2007-09-20,2013-12,3.7
9781,MBS 2007-05,2007-09-20,2013-11,4.4
9782,MBS 2007-05,2007-09-20,2013-10,5.46
9783,MBS 2007-05,2007-09-20,2013-09,3.77
9784,MBS 2007-05,2007-09-20,2013-08,4.72
9785,MBS 2007-05,2007-09-20,2013-07,6.81
9786,MBS 2007-05,2007-09-20,2013-06,8.73
9787,MBS 2007-05,2007-09-20,2013-05,8.44
9788,MBS 2007-05,2007-09-20,2013-04,7.72
9789,MBS 2007-05,2007-09-20,2013-03,7.05
9790,MBS 2007-05,2007-09-20,2013-02,0.07
9791,MBS 2007-05,2007-09-20,2013-01,5.53
9792,MBS 2007-05,2007-09-20,2012-12,7.71
9793,MBS 2007-05,2007-09-20,2012-11,10.67
9794,MBS 2007-05,2007-09-20,2012-10,9.26
9795,MBS 2007-05,2007-09-20,2012-09,9.0
9796,MBS 2007-05,2007-09-20,2012-08,11.29
9797,MBS 2007-05,2007-09-20,2012-07,7.47
9798,MBS 2007-05,2007-09-20,2012-06,5.78
9799,MBS 2007-05,2007-09-20,2012-05,3.28
9800,MBS 2007-05,2007-09-20,2012-04,2.73
9801,MBS 2007-05,2007-09-20,2012-03,2.58
9802,MBS 2007-05,2007-09-20,2012-02,3.25
9803,MBS 2007-05,2007-09-20,2012-01,1.73
9804,MBS 2007-05,2007-09-20,2011-12,2.56
9805,MBS 2007-05,2007-09-20,2011-11,2.76
9806,MBS 2007-05,2007-09-20,2011-10,2.34
9807,MBS 2007-05,2007-09-20,2011-09,3.09
9808,MBS 2007-05,2007-09-20,2011-08,3.01
9809,MBS 2007-05,2007-09-20,2011-07,2.23
9810,MBS 2007-05,2007-09-20,2011-06,2.29
9811,MBS 2007-05,2007-09-20,2011-05,2.69
9812,MBS 2007-05,2007-09-20,2011-04,2.85
9813,MBS 2007-05,2007-09-20,2011-03,2.72
9814,MBS 2007-05,2007-09-20,2011-02,2.85
9815,MBS 2007-05,2007-09-20,2011-01,3.31
9816,MBS 2007-04,2007-08-23,2015-12,4.98
9817,MBS 2007-04,2007-08-23,2015-11,2.14
9818,MBS 2007-04,2007-08-23,2015-10,4.29
9819,MBS 2007-04,2007-08-23,2015-09,1.78
9820,MBS 2007-04,2007-08-23,2015-08,4.1
9821,MBS 2007-04,2007-08-23,2015-07,12.65
9822,MBS 2007-04,2007-08-23,2015-06,6.23
9823,MBS 2007-04,2007-08-23,2015-05,4.61
9824,MBS 2007-04,2007-08-23,2015-04,16.84
9825,MBS 2007-04,2007-08-23,2015-03,6.35
9826,MBS 2007-04,2007-08-23,2015-02,4.01
9827,MBS 2007-04,2007-08-23,2015-01,5.77
9828,MBS 2007-04,2007-08-23,2014-12,5.35
9829,MBS 2007-04,2007-08-23,2014-11,7.87
9830,MBS 2007-04,2007-08-23,2014-10,6.34
9831,MBS 2007-04,2007-08-23,2014-09,5.68
9832,MBS 2007-04,2007-08-23,2014-08,6.51
9833,MBS 2007-04,2007-08-23,2014-07,4.11
9834,MBS 2007-04,2007-08-23,2014-06,2.75
9835,MBS 2007-04,2007-08-23,2014-05,6.04
9836,MBS 2007-04,2007-08-23,2014-04,3.4
9837,MBS 2007-04,2007-08-23,2014-03,5.06
9838,MBS 2007-04,2007-08-23,2014-02,3.44
9839,MBS 2007-04,2007-08-23,2014-01,4.98
9840,MBS 2007-04,2007-08-23,2013-12,4.57
9841,MBS 2007-04,2007-08-23,2013-11,3.49
9842,MBS 2007-04,2007-08-23,2013-10,5.51
9843,MBS 2007-04,2007-08-23,2013-09,4.79
9844,MBS 2007-04,2007-08-23,2013-08,7.46
9845,MBS 2007-04,2007-08-23,2013-07,4.5
9846,MBS 2007-04,2007-08-23,2013-06,6.39
9847,MBS 2007-04,2007-08-23,2013-05,7.52
9848,MBS 2007-04,2007-08-23,2013-04,6.33
9849,MBS 2007-04,2007-08-23,2013-03,8.01
9850,MBS 2007-04,2007-08-23,2013-02,0.07
